DATE,USSTHPI
1975-01-01,59.84
1975-04-01,61.1
1975-07-01,61.29
1975-10-01,62.32
1976-01-01,62.87
1976-04-01,65.49
1976-07-01,66.59
1976-10-01,67.27
1977-01-01,69.47
1977-04-01,72.66
1977-07-01,74.37
1977-10-01,77.22
1978-01-01,79.57
1978-04-01,82.74
1978-07-01,85.22
1978-10-01,87.46
1979-01-01,91.38
1979-04-01,94.39
1979-07-01,96.38
1979-10-01,98.28
1980-01-01,100.00
1980-04-01,101.58
1980-07-01,104.51
1980-10-01,104.77
1981-01-01,105.33
1981-04-01,107.43
1981-07-01,109.17
1981-10-01,109.13
1982-01-01,110.94
1982-04-01,111.88
1982-07-01,110.82
1982-10-01,112.21
1983-01-01,114.21
1983-04-01,115.41
1983-07-01,116.38
1983-10-01,117.04
1984-01-01,118.82
1984-04-01,120.37
1984-07-01,121.49
1984-10-01,122.46
1985-01-01,124.21
1985-04-01,126.08
1985-07-01,128.04
1985-10-01,129.46
1986-01-01,131.95
1986-04-01,134.7
1986-07-01,136.75
1986-10-01,138.86
1987-01-01,141.61
1987-04-01,143.79
1987-07-01,145.42
1987-10-01,146.35
1988-01-01,148.65
1988-04-01,151.61
1988-07-01,153.16
1988-10-01,154.59
1989-01-01,156.38
1989-04-01,158.53
1989-07-01,161.89
1989-10-01,163.25
1990-01-01,164.16
1990-04-01,164.83
1990-07-01,165.82
1990-10-01,165.17
1991-01-01,166.55
1991-04-01,167.68
1991-07-01,167.96
1991-10-01,170.33
1992-01-01,171.64
1992-04-01,171.61
1992-07-01,173.58
1992-10-01,174.45
1993-01-01,174.51
1993-04-01,176.17
1993-07-01,177.59
1993-10-01,179.06
1994-01-01,180.2
1994-04-01,181.28
1994-07-01,182.03
1994-10-01,181.88
1995-01-01,182.83
1995-04-01,185.83
1995-07-01,188.69
1995-10-01,190.16
1996-01-01,192.31
1996-04-01,192.65
1996-07-01,193.5
1996-10-01,195.01
1997-01-01,196.64
1997-04-01,198.29
1997-07-01,201.01
1997-10-01,203.61
1998-01-01,206.65
1998-04-01,208.52
1998-07-01,211.42
1998-10-01,213.93
1999-01-01,216.18
1999-04-01,219.07
1999-07-01,222.17
1999-10-01,224.46
2000-01-01,228.75
2000-04-01,232.48
2000-07-01,236.71
2000-10-01,240.35
2001-01-01,246.28
2001-04-01,250.41
2001-07-01,254.29
2001-10-01,257.44
2002-01-01,261.14
2002-04-01,265.59
2002-07-01,270.85
2002-10-01,274.7
2003-01-01,278.04
2003-04-01,281.42
2003-07-01,285.74
2003-10-01,293.82
2004-01-01,298.42
2004-04-01,305.66
2004-07-01,317.35
2004-10-01,324.12
2005-01-01,331.59
2005-04-01,342.19
2005-07-01,352.51
2005-10-01,360.49
2006-01-01,366.21
2006-04-01,369.95
2006-07-01,373.0
2006-10-01,376.82
2007-01-01,378.2
2007-04-01,377.93
2007-07-01,373.71
2007-10-01,372.53
2008-01-01,369.82
2008-04-01,360.49
2008-07-01,349.15
2008-10-01,345.93
2009-01-01,348.47
2009-04-01,339.27
2009-07-01,330.3
2009-10-01,327.83
2010-01-01,323.9
2010-04-01,321.0
2010-07-01,324.04
2010-10-01,321.69
2011-01-01,312.85
2011-04-01,307.35
2011-07-01,309.65
2011-10-01,311.01
2012-01-01,307.74
2012-04-01,306.45
2012-07-01,310.41
2012-10-01,312.91
2013-01-01,314.53
2013-04-01,319.42
2013-07-01,324.39
2013-10-01,327.08
2014-01-01,329.96
2014-04-01,336.26
2014-07-01,341.09
2014-10-01,343.93
2015-01-01,347.37
2015-04-01,353.42
2015-07-01,358.89
2015-10-01,362.09
2016-01-01,365.42
2016-04-01,372.56
2016-07-01,379.23
2016-10-01,382.7
2017-01-01,386.13
2017-04-01,395.83
2017-07-01,402.58
2017-10-01,406.67
2018-01-01,412.65
2018-04-01,422.39
2018-07-01,429.35
2018-10-01,431.62
2019-01-01,435.87
2019-04-01,443.51
