,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Real GDP by Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transformation,YoY% SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Set,GDP Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product,Personal Consumption Expenditures,Goods,Durable Goods,Motor Vehicles and Parts,Furnishings and Durable Household Equipment,Recreational Goods and Vehicles,Other Durable Goods,Nondurable Goods,Food & Beverages Purchased for Off-Premises Consumption,Clothing and Footwear,Gasoline and Other Energy Goods,Other Nondurable Goods,Services,Household Consumption Expenditures (for services),Housing and Utilities,Health Care,Transportation Services,Recreation Services,Food Services and Accommodations,Financial Services and Insurance,Other Services,Final Consumption Expenditure of Nonprofit Institutions,Gross Output of nonprofit institutions,Receipts from Sales of Goods and Services by NPISH,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Information Processing Equipment,Other,Industrial equipment,Transportation Equipment,Other equipment,Intellectual Property Products,Software,Research and Development Excluding Software,"Entertainment, Literary, and Artistic Originals",Residential,Change in Private Inventories,Farm,Nonfarm,Net Exports,Exports,Exports of Goods,Exports of Services,Imports,Imports of Goods,Petroleum and Petroleum Products,Imports of Services,Government consumption expenditures and gross investment,Government: Consumption Expenditure,Government: Gross Investment,Government: Structures,Government: Equipment,Government: Intellectual Property Products,Government: Software,Government: Research and Development,Federal,National defense,National Defense Consumption expenditures,National Defense Gross investment,Nondefense,Nondefense Consumption expenditures,Nondefense Gross investment,State and local,State and local Consumption expenditures,State and local Gross investment,Residual,Gross Domestic Income,Average of GDP and GDI,Final Sales of Domestic Product,Gross Domestic Purchase,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Final Private Demand,Market-based PCE
Ticker,GDP CYOY,GDPCTOTY,,,,GDPCFYOY,,,,,GDPCSYOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPCMBYY
Field,PR005,PR005,,,,PR005,,,,,PR005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR005
Q4 2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Q3 2019,2,2.5,4.3,5.4,1.9,2.9,12.2,5.8,3.7,2.9,2.4,0.2,5.8,1.7,1.8,0.9,2.4,2.8,2,0.9,1.5,3.3,-0.9,1.4,2.2,0.2,0.8,1.3,-8.1,1,1.5,2.6,2.9,-1.2,1,8.1,9.8,7.7,3.4,-1,-20.9,--,-18.9,--,0.1,0.6,-0.9,0.8,0,-11.5,4.2,2.3,1.8,4.4,3.3,7.3,4,8.4,2.4,3.7,4.5,3.7,7.9,2.5,2.2,3.3,1.5,1,3.4,--,--,--,2.1,2.1,2.2,2.1,2.1,1.3
Q2 2019,2.3,2.6,3.8,4.4,1.9,2.7,9.5,4.2,3.5,1.9,4.5,0.2,5.5,2.1,2.2,0.7,3.3,1.6,2.3,2.1,1.6,4.5,0.2,2.7,3.7,3.9,1.3,2.6,-4.8,2.7,6.1,5.2,2.6,0.1,0.7,7.5,9.8,6.5,3.1,-3.2,--,--,--,--,-1.7,-2.1,-0.7,2.6,2.1,-6.8,4.7,2.3,1.9,4.3,3.9,4.9,4.4,8.9,2.7,3.6,4.8,4.6,5.5,1.9,1.4,3.4,1.6,1,4.1,--,2.3,2.3,1.8,2.8,2.4,2.4,2.4,1.3
Q1 2019,2.7,2.5,3,3.2,-0.1,1.7,7.5,6.3,2.9,1.1,3.3,0.7,5,2.3,2.3,1,3.3,-1.4,2.3,2.1,1.2,5.8,2.8,4.2,4.7,5.1,2.9,4.8,0.7,3.3,5.3,6.2,1.1,4.1,1.6,9.6,11,9.4,4.6,-3.4,186.7,--,182.3,--,1.2,2.2,-0.8,2.6,2.3,-6,4.3,1.8,1.4,3.4,1.8,6.2,3.9,9.9,1.7,2.5,5.8,5.5,7.3,-2.1,-3.3,1.8,1.3,1.1,2.4,--,2,2.3,2.3,2.8,2.5,2.6,2.6,1.3
Q4 2018,2.5,2.6,2.9,3.8,1.1,2.3,6.6,7.5,2.5,2.1,3.9,0.1,3.2,2.5,2.1,1.1,2.1,-0.1,4.1,3.9,0.7,4.5,10.7,3.4,0.8,5.1,3.5,5.9,2.6,5,5.6,4.8,3.4,7.3,3,9.3,11.6,8.2,5.7,-4.4,199.1,--,195,--,0.4,1.4,-1.6,3.2,3.4,-6.7,2.4,1.5,1.6,1.4,-1.8,6.3,3,11.8,-0.1,2.7,4,3.5,6.1,0.7,0.8,0.5,0.9,1.1,-0.1,--,2.3,2.4,2.2,2.9,2.6,2.8,2.8,1.7
Q3 2018,3.1,3.4,4.4,6.4,4.2,6.6,9.2,6.7,3.4,3.3,5.5,-0.6,3.9,3,2.9,1.5,3.6,2.1,2.7,5.6,0.9,4.7,5.9,3.6,2.8,5.5,5,6.8,6.4,6.4,10,11.1,3.8,6,3.8,7.5,10.4,5.7,5.3,-0.9,24.2,--,28.2,--,2.4,4,-0.5,5.7,6.7,1.8,1.4,2.2,2.1,3,2.5,5.9,1.7,11.1,-1.5,3.6,3.9,3.8,4.3,3.1,3.8,0.9,1.5,1.1,3.3,-33.8,2.8,3,3,3.6,3.5,3.8,3.7,2
Q2 2018,3.2,3.2,4.5,7.5,6.4,7.7,8.1,9,3,3.7,3.5,-0.5,3.3,2.6,2.5,1.4,3.5,3.8,2,4.3,1.2,2.6,3.7,3,2.7,4.1,5.2,6.9,4.8,7.2,9.5,8.8,3.5,7.6,6.9,7.8,10.8,6,4.5,-0.4,--,--,--,--,5.2,7.1,1.7,3.9,4.7,-3.4,0.6,1.7,1.7,1.8,0.6,5.6,1.1,10.6,-2.1,2.8,2.7,2.4,3.9,3,4.1,0,1,0.9,1.6,-78.2,2.2,2.7,3.4,3.1,3.2,3.6,3.6,2
Q1 2018,2.9,2.8,4.5,7.4,5.6,8.6,9.2,6.8,3.1,3.6,2.8,0.3,3.5,2,2.1,1.6,2.6,6.3,-0.1,2.7,1.3,2,-0.6,0.4,0.7,5.5,4.6,6,2.6,8.6,12.1,11.5,7.6,4.7,8.9,4.8,9.5,1.5,3,-0.1,364.4,--,257.9,--,4.1,4.7,3.2,4.7,5.3,-10.8,2.1,1.4,1.3,1.6,-0.6,7.4,1,9.1,-1.7,2.7,2.5,1.7,6,2.9,3.7,0.5,0.6,0.7,0.3,-72,2.7,2.8,2.7,3,2.8,3.1,3.1,1.5
