,,
Country,World,
Category,Consumer Prices,
Source,International Monetary Fund,
Transformation,Value Annual,
Frequency,Yearly,
Data Set,IMF WEO,
,,
,Consumer Prices,Consumer Prices
Ticker,IINAWRLD,IINEWRLD
Field,PR005,PR005
2024,3.415,3.374
2023,3.429,3.432
2022,3.453,3.417
2021,3.481,3.508
2020,3.557,3.427
2019,3.41,3.461
2018,3.615,3.569
2017,3.204,3.29
2016,2.773,3.028
2015,2.769,2.856
2014,3.226,2.908
2013,3.659,3.293
2012,4.068,3.985
2011,5.061,4.747
2010,3.732,4.329
2009,2.766,3.14
2008,6.306,4.687
2007,4.305,5.302
2006,4.036,3.922
2005,4.042,3.983
2004,3.798,4.086
2003,3.909,3.662
2002,3.68,4.085
2001,4.634,3.978
2000,4.848,4.869
1999,6.281,5.127
1998,6.331,7.312
1997,6.498,5.931
1996,9.351,7.879
1995,16.31,12.701
1994,31.903,26.049
1993,40.507,43.115
1992,39.902,43.609
1991,17.26,18.888
1990,26.682,25.486
1989,23.222,24.726
1988,19.736,23.283
1987,14.632,18.477
1986,11.829,9.788
1985,13.861,16.668
1984,14.141,16.838
1983,13.501,15.769
1982,14.291,15.161
1981,15.195,15.437
1980,17.463,--
1979,--,--
1978,--,--
1977,--,--
1976,--,--
1975,--,--
1974,--,--
1973,--,--
1972,--,--
1971,--,--
1970,--,--
