imdb id,Unemployment_Rate,US CPI: All items,US CPI: All Items (1967=100),GDP_deflator,US Real GDP 2,US Real GDP 1,US Real GDP: Personal Consumption Expenditures,US Nominal GDP: Gross Domestic Product,US Nominal GDP: Personal Consumption Expenditures,House_Price_Index,China Personal Expense: All Households,China Personal Expense: Rural Households,China Personal Expense: Urban Households,Gini: Gini Coefficient,Gini: White Alone,World CPI 2,rev_ppi_log,budget_ppi_log
tt0087332,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0087538,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087843,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,2
tt0087363,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087078,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0088170,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0088286,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0088194,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0087032,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0088001,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0087932,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0086946,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087469,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0088128,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0086993,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,2
tt0087781,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0087262,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087260,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,0,1
tt0087298,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,0
tt0088213,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0087747,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0085871,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,0
tt0088323,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,2
tt0087597,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,1
tt0087957,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,1
tt0086955,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,2
tt0087884,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,0
tt0087222,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,0
tt0086879,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,2
tt0087482,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,1
tt0088000,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,1
tt0087985,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,2,0
tt0087015,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,0
tt0086987,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,1
tt0088103,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,2
tt0087910,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,2
tt0087054,3,4,4,0,3,4,4,4,3,0,0,0,0,0,0,4,1,0
tt0087928,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,0
tt0088011,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0088258,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,0
tt0087050,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,0
tt0088161,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0086859,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087995,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,0,0
tt0087365,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0087451,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0087428,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0087968,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0087722,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,0,1
tt0086232,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,0,2
tt0087277,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0088326,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0086197,3,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,2
tt0086896,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,0
tt0087003,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,1,1
tt0086312,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0086619,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,2,1
tt0087981,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,0,1
tt0087800,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,2,0
tt0088206,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,2
tt0087799,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,0
tt0088117,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,0
tt0087233,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,1
tt0087727,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,2,0
tt0088146,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,2,1
tt0087004,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,0
tt0088247,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,2,1
tt0086984,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,1
tt0087980,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,1,1
tt0088242,3,4,4,0,3,4,4,3,4,0,0,0,0,0,0,4,2,1
